,no.,date,time,source,destination,protocol,length,tcp_retransmission,flags,source_port,destination_port,seq,win,len,mss,ack
1047,1048,2020-11-03,19:07:43,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,3580,0,4096,0,1460,False
1048,1049,2020-11-03,19:07:49,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,89,0,3072,0,1460,False
1049,1050,2020-11-03,19:07:54,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,8873,0,4096,0,1460,False
1050,1051,2020-11-03,19:08:00,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,7106,0,4096,0,1460,False
1051,1052,2020-11-03,19:08:05,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,8087,0,4096,0,1460,False
1052,1053,2020-11-03,19:08:10,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,9594,0,3072,0,1460,False
1053,1054,2020-11-03,19:08:15,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1099,0,3072,0,1460,False
1054,1055,2020-11-03,19:08:21,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,34573,0,4096,0,1460,False
1055,1056,2020-11-03,19:08:26,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,5030,0,2048,0,1460,False
1056,1057,2020-11-03,19:08:32,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,2702,0,3072,0,1460,False
1057,1058,2020-11-03,20:10:08,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,32783,0,3072,0,1460,False
1058,1059,2020-11-03,20:10:15,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1443,0,2048,0,1460,False
1059,1060,2020-11-03,20:10:20,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,19801,0,2048,0,1460,False
1060,1061,2020-11-03,20:10:24,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,5802,0,1024,0,1460,False
1061,1062,2020-11-03,20:10:29,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,9081,0,2048,0,1460,False
1062,1063,2020-11-03,20:10:34,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1137,0,4096,0,1460,False
1063,1064,2020-11-03,20:10:38,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1900,0,1024,0,1460,False
1064,1065,2020-11-03,20:10:43,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,4443,0,2048,0,1460,False
1065,1066,2020-11-03,20:10:47,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,50500,0,4096,0,1460,False
1066,1067,2020-11-03,20:10:52,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,2604,0,3072,0,1460,False
1067,1068,2020-11-03,20:10:56,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1059,0,4096,0,1460,False
1068,1069,2020-11-03,20:11:01,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,10616,0,4096,0,1460,False
1069,1070,2020-11-03,20:11:05,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,12000,0,1024,0,1460,False
1070,1071,2020-11-03,20:11:10,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,31038,0,3072,0,1460,False
1071,1072,2020-11-03,20:11:15,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,9002,0,1024,0,1460,False
1072,1073,2020-11-03,20:11:19,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,5998,0,4096,0,1460,False
1073,1074,2020-11-03,20:11:24,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,9503,0,1024,0,1460,False
1074,1075,2020-11-03,20:11:28,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1062,0,1024,0,1460,False
1075,1076,2020-11-03,20:11:33,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1217,0,2048,0,1460,False
1076,1077,2020-11-03,20:11:37,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,50001,0,1024,0,1460,False
1077,1078,2020-11-03,20:11:42,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,3325,0,4096,0,1460,False
1078,1079,2020-11-03,20:11:46,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1011,0,4096,0,1460,False
1079,1080,2020-11-03,20:11:51,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1117,0,1024,0,1460,False
1080,1081,2020-11-03,20:11:55,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1533,0,2048,0,1460,False
1081,1082,2020-11-03,20:12:00,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,3404,0,4096,0,1460,False
1082,1083,2020-11-03,21:36:34,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,2035,0,4096,0,1460,False
1083,1084,2020-11-03,21:36:42,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,211,0,3072,0,1460,False
1084,1085,2020-11-03,21:36:47,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,5907,0,2048,0,1460,False
1085,1086,2020-11-03,21:36:53,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1037,0,4096,0,1460,False
1086,1087,2020-11-03,21:36:59,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,5877,0,2048,0,1460,False
1087,1088,2020-11-03,21:37:04,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,5102,0,3072,0,1460,False
1088,1089,2020-11-03,21:37:12,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,9080,0,2048,0,1460,False
1089,1090,2020-11-03,21:37:18,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,667,0,3072,0,1460,False
1090,1091,2020-11-03,21:37:23,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,9878,0,4096,0,1460,False
1091,1092,2020-11-03,21:37:29,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,5902,0,1024,0,1460,False
1092,1093,2020-11-03,21:37:35,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,13782,0,1024,0,1460,False
1093,1094,2020-11-03,21:37:40,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1174,0,3072,0,1460,False
1094,1095,2020-11-03,21:37:45,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,16992,0,3072,0,1460,False
1095,1096,2020-11-03,21:37:50,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,7019,0,3072,0,1460,False
1096,1097,2020-11-03,21:37:56,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,45100,0,4096,0,1460,False
1097,1098,2020-11-03,21:38:01,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,2381,0,4096,0,1460,False
1098,1099,2020-11-03,21:38:08,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,4445,0,4096,0,1460,False
1099,1100,2020-11-03,21:38:13,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1783,0,3072,0,1460,False
1100,1101,2020-11-03,21:38:21,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,902,0,3072,0,1460,False
1101,1102,2020-11-03,21:38:26,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,3690,0,3072,0,1460,False
1102,1103,2020-11-03,21:38:32,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,8089,0,4096,0,1460,False
1103,1104,2020-11-03,21:38:38,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1010,0,2048,0,1460,False
1104,1105,2020-11-03,21:38:43,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,8402,0,1024,0,1460,False
1105,1106,2020-11-03,21:38:49,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,9090,0,2048,0,1460,False
1106,1107,2020-11-03,21:38:55,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,3527,0,4096,0,1460,False
1107,1108,2020-11-03,21:39:00,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,992,0,4096,0,1460,False
1108,1109,2020-11-03,21:39:06,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,8652,0,3072,0,1460,False
1109,1110,2020-11-03,21:39:11,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,255,0,4096,0,1460,False
1110,1111,2020-11-03,21:39:17,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,33354,0,2048,0,1460,False
1111,1112,2020-11-03,21:39:23,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1050,0,1024,0,1460,False
1112,1113,2020-11-03,21:39:28,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1782,0,4096,0,1460,False
1113,1114,2020-11-03,21:39:34,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,406,0,2048,0,1460,False
1114,1115,2020-11-03,21:39:39,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,22939,0,2048,0,1460,False
1115,1116,2020-11-03,21:45:37,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,2702,0,1024,0,1460,False
1116,1117,2020-11-03,21:45:42,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,5030,0,3072,0,1460,False
1117,1118,2020-11-03,21:45:46,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,34573,0,3072,0,1460,False
1118,1119,2020-11-03,21:45:52,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1099,0,1024,0,1460,False
1119,1120,2020-11-03,21:45:57,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,9594,0,2048,0,1460,False
1120,1121,2020-11-03,21:46:02,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,8087,0,2048,0,1460,False
1121,1122,2020-11-03,21:46:06,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,7106,0,1024,0,1460,False
1122,1123,2020-11-03,21:46:12,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,8873,0,4096,0,1460,False
1123,1124,2020-11-03,21:46:17,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,89,0,3072,0,1460,False
1124,1125,2020-11-03,21:46:23,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,3580,0,2048,0,1460,False
1125,1126,2020-11-03,21:46:28,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,2399,0,3072,0,1460,False
1126,1127,2020-11-03,21:46:34,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,8994,0,4096,0,1460,False
1127,1128,2020-11-03,21:46:39,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,800,0,1024,0,1460,False
1128,1129,2020-11-03,21:46:44,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,6101,0,3072,0,1460,False
1129,1130,2020-11-03,21:46:50,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,2170,0,3072,0,1460,False
1130,1131,2020-11-03,21:46:55,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1112,0,4096,0,1460,False
1131,1132,2020-11-03,21:47:01,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,144,0,2048,0,1460,False
1132,1133,2020-11-03,22:48:29,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,3404,0,3072,0,1460,False
1133,1134,2020-11-03,22:48:36,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1533,0,3072,0,1460,False
1134,1135,2020-11-03,22:48:42,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1117,0,2048,0,1460,False
1135,1136,2020-11-03,22:48:48,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1011,0,1024,0,1460,False
1136,1137,2020-11-03,22:48:53,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,3325,0,2048,0,1460,False
1137,1138,2020-11-03,22:48:59,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,50001,0,1024,0,1460,False
1138,1139,2020-11-03,22:49:04,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1217,0,3072,0,1460,False
1139,1140,2020-11-03,22:49:16,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1062,0,1024,0,1460,False
1140,1141,2020-11-03,22:49:21,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,9503,0,4096,0,1460,False
1141,1142,2020-11-03,22:49:26,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,5998,0,1024,0,1460,False
1142,1143,2020-11-03,22:49:32,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,9002,0,2048,0,1460,False
1143,1144,2020-11-03,22:49:39,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,524,0,4096,0,1460,False
1144,1145,2020-11-03,22:49:44,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,5100,0,2048,0,1460,False
1145,1146,2020-11-03,22:49:50,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1091,0,3072,0,1460,False
1146,1147,2020-11-03,22:49:56,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,15000,0,4096,0,1460,False
1147,1148,2020-11-03,22:50:01,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,19,0,3072,0,1460,False
1148,1149,2020-11-03,22:50:07,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,2042,0,1024,0,1460,False
1149,1150,2020-11-03,22:50:15,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1138,0,4096,0,1460,False
1150,1151,2020-11-03,22:50:21,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,5960,0,3072,0,1460,False
1151,1152,2020-11-03,22:50:25,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,2144,0,1024,0,1460,False
1152,1153,2020-11-03,22:50:30,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1106,0,4096,0,1460,False
1153,1154,2020-11-03,22:50:34,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,4446,0,3072,0,1460,False
1154,1155,2020-11-03,22:50:39,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,5432,0,3072,0,1460,False
1155,1156,2020-11-03,22:50:43,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,8085,0,2048,0,1460,False
1156,1157,2020-11-03,22:50:48,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,2119,0,4096,0,1460,False
1157,1158,2020-11-04,00:14:53,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,22939,0,4096,0,1460,False
1158,1159,2020-11-04,00:15:00,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,406,0,4096,0,1460,False
1159,1160,2020-11-04,00:15:06,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1782,0,2048,0,1460,False
1160,1161,2020-11-04,00:15:11,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1050,0,3072,0,1460,False
1161,1162,2020-11-04,00:15:17,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,33354,0,2048,0,1460,False
1162,1163,2020-11-04,00:15:22,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,255,0,2048,0,1460,False
1163,1164,2020-11-04,00:15:27,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,8652,0,3072,0,1460,False
1164,1165,2020-11-04,00:15:33,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,992,0,2048,0,1460,False
1165,1166,2020-11-04,00:15:38,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,3527,0,3072,0,1460,False
1166,1167,2020-11-04,00:15:44,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,9090,0,4096,0,1460,False
1167,1168,2020-11-04,00:15:49,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,8402,0,4096,0,1460,False
1168,1169,2020-11-04,00:15:55,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1010,0,4096,0,1460,False
1169,1170,2020-11-04,00:16:01,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,8089,0,1024,0,1460,False
1170,1171,2020-11-04,00:16:06,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,3690,0,3072,0,1460,False
1171,1172,2020-11-04,00:16:12,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,902,0,4096,0,1460,False
1172,1173,2020-11-04,00:16:18,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1971,0,2048,0,1460,False
1173,1174,2020-11-04,00:16:24,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,5222,0,2048,0,1460,False
1174,1175,2020-11-04,00:16:30,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1100,0,3072,0,1460,False
1175,1176,2020-11-04,00:16:45,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,6668,0,2048,0,1460,False
1176,1177,2020-11-04,00:16:50,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,8600,0,1024,0,1460,False
1177,1178,2020-11-04,00:16:56,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,5000,0,1024,0,1460,False
1178,1179,2020-11-04,00:17:02,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,714,0,3072,0,1460,False
1179,1180,2020-11-04,00:17:08,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,7921,0,1024,0,1460,False
1180,1181,2020-11-04,00:17:13,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,6112,0,4096,0,1460,False
1181,1182,2020-11-04,00:17:19,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,50300,0,2048,0,1460,False
1182,1183,2020-11-04,00:17:24,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,6156,0,3072,0,1460,False
1183,1184,2020-11-04,00:17:30,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,13783,0,1024,0,1460,False
1184,1185,2020-11-04,00:17:36,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,8007,0,1024,0,1460,False
1185,1186,2020-11-04,00:17:41,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,32773,0,4096,0,1460,False
1186,1187,2020-11-04,00:17:47,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1105,0,4096,0,1460,False
1187,1188,2020-11-04,00:17:53,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,5050,0,4096,0,1460,False
1188,1189,2020-11-04,00:17:59,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1175,0,1024,0,1460,False
1189,1190,2020-11-04,00:18:04,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,3260,0,1024,0,1460,False
1190,1191,2020-11-04,00:23:58,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,9001,0,1024,0,1460,False
1191,1192,2020-11-04,00:24:03,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,15003,0,2048,0,1460,False
1192,1193,2020-11-04,00:24:07,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,70,0,4096,0,1460,False
1193,1194,2020-11-04,00:24:12,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,2003,0,4096,0,1460,False
1194,1195,2020-11-04,00:24:18,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1030,0,3072,0,1460,False
1195,1196,2020-11-04,00:24:23,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,543,0,3072,0,1460,False
1196,1197,2020-11-04,00:24:29,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1132,0,2048,0,1460,False
1197,1198,2020-11-04,00:24:34,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,64623,0,3072,0,1460,False
1198,1199,2020-11-04,00:24:40,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,6007,0,4096,0,1460,False
1199,1200,2020-11-04,00:24:46,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,3300,0,1024,0,1460,False
1200,1201,2020-11-04,00:24:51,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,222,0,4096,0,1460,False
1201,1202,2020-11-04,00:24:57,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,8194,0,2048,0,1460,False
1202,1203,2020-11-04,00:25:02,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,10628,0,3072,0,1460,False
1203,1204,2020-11-04,00:25:08,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,4444,0,3072,0,1460,False
1204,1205,2020-11-04,00:25:24,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,79,0,2048,0,1460,False
1205,1206,2020-11-04,00:25:30,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,7938,0,3072,0,1460,False
1206,1207,2020-11-04,00:25:36,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1032,0,3072,0,1460,False
1207,1208,2020-11-04,01:26:54,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,2119,0,4096,0,1460,False
1208,1209,2020-11-04,01:27:01,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,8085,0,4096,0,1460,False
1209,1210,2020-11-04,01:27:06,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,5432,0,2048,0,1460,False
1210,1211,2020-11-04,01:27:12,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,4446,0,4096,0,1460,False
1211,1212,2020-11-04,01:27:17,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1106,0,1024,0,1460,False
1212,1213,2020-11-04,01:27:23,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,2144,0,4096,0,1460,False
1213,1214,2020-11-04,01:27:29,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,5960,0,2048,0,1460,False
1214,1215,2020-11-04,01:27:34,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1138,0,2048,0,1460,False
1215,1216,2020-11-04,01:27:40,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,2042,0,4096,0,1460,False
1216,1217,2020-11-04,01:27:45,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,19,0,4096,0,1460,False
1217,1218,2020-11-04,01:27:51,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,15000,0,4096,0,1460,False
1218,1219,2020-11-04,01:27:56,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1091,0,4096,0,1460,False
1219,1220,2020-11-04,01:28:01,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,5100,0,1024,0,1460,False
1220,1221,2020-11-04,01:28:07,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,524,0,4096,0,1460,False
1221,1222,2020-11-04,01:28:13,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1272,0,1024,0,1460,False
1222,1223,2020-11-04,01:28:19,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,8899,0,2048,0,1460,False
1223,1224,2020-11-04,01:28:25,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1121,0,1024,0,1460,False
1224,1225,2020-11-04,01:28:31,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,10024,0,3072,0,1460,False
1225,1226,2020-11-04,01:28:38,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,6003,0,3072,0,1460,False
1226,1227,2020-11-04,01:28:44,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,8088,0,4096,0,1460,False
1227,1228,2020-11-04,01:28:50,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,41511,0,3072,0,1460,False
1228,1229,2020-11-04,01:28:55,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,5298,0,4096,0,1460,False
1229,1230,2020-11-04,01:29:01,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1717,0,1024,0,1460,False
1230,1231,2020-11-04,01:29:07,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,43,0,3072,0,1460,False
1231,1232,2020-11-04,01:29:12,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1122,0,2048,0,1460,False
1232,1233,2020-11-04,01:52:17,64.13.134.52,172.16.0.8,TCP,60,False,"[RST, ACK]",70,36050,1,0,0,False,1
1233,1234,2020-11-04,01:55:44,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,711,0,2048,0,1460,False
1234,1235,2020-11-04,01:55:51,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,32769,0,4096,0,1460,False
1235,1236,2020-11-04,02:42:29,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,3260,0,4096,0,1460,False
1236,1237,2020-11-04,02:42:34,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1175,0,2048,0,1460,False
1237,1238,2020-11-04,02:42:40,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,5050,0,2048,0,1460,False
1238,1239,2020-11-04,02:42:46,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1105,0,3072,0,1460,False
1239,1240,2020-11-04,02:42:51,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,32773,0,4096,0,1460,False
1240,1241,2020-11-04,02:42:57,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,8007,0,4096,0,1460,False
1241,1242,2020-11-04,02:43:02,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,13783,0,4096,0,1460,False
1242,1243,2020-11-04,02:43:08,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,6156,0,2048,0,1460,False
1243,1244,2020-11-04,02:43:14,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,50300,0,2048,0,1460,False
1244,1245,2020-11-04,02:43:20,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,6112,0,3072,0,1460,False
1245,1246,2020-11-04,02:43:25,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,7921,0,3072,0,1460,False
1246,1247,2020-11-04,02:43:31,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,714,0,1024,0,1460,False
1247,1248,2020-11-04,02:43:36,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,5000,0,4096,0,1460,False
1248,1249,2020-11-04,02:43:40,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,8600,0,2048,0,1460,False
1249,1250,2020-11-04,02:43:45,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,6668,0,4096,0,1460,False
1250,1251,2020-11-04,02:43:49,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1100,0,3072,0,1460,False
1251,1252,2020-11-04,02:43:54,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,5222,0,3072,0,1460,False
1252,1253,2020-11-04,02:43:59,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36051,1971,0,4096,0,1460,False
1253,1254,2020-11-04,02:44:06,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1501,0,4096,0,1460,False
1254,1255,2020-11-04,02:44:12,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,2602,0,1024,0,1460,False
1255,1256,2020-11-04,02:44:17,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1163,0,4096,0,1460,False
1256,1257,2020-11-04,02:44:23,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,1045,0,1024,0,1460,False
1257,1258,2020-11-04,02:44:29,172.16.0.8,64.13.134.52,TCP,58,False,[SYN],36050,106,0,4096,0,1460,False
